task_occurrence_id,task_assignment_id,task_id,person_id,occurrence_number,scheduled_start_date,scheduled_end_date,created_at
101,1,1,1,1,2026-01-01,2026-01-31,2026-01-01 09:00:00
102,1,1,1,2,2026-02-01,2026-02-28,2026-01-01 09:00:00
103,2,1,2,1,2026-01-01,2026-01-31,2026-01-01 09:05:00
104,2,1,2,2,2026-02-01,2026-02-28,2026-01-01 09:05:00
201,3,2,3,1,2026-01-15,2026-01-15,2026-01-12 10:00:00
301,4,3,2,1,2026-01-01,2026-01-01,2026-01-01 11:00:00
302,4,3,2,2,2026-01-02,2026-01-02,2026-01-01 11:00:00
303,4,3,2,3,2026-01-03,2026-01-03,2026-01-01 11:00:00
401,5,3,1,1,2026-01-10,2026-01-10,2026-01-10 11:00:00
402,5,3,1,2,2026-01-11,2026-01-11,2026-01-10 11:00:00
